"Item Name","Item ID","Ver","/xml/item/curriculum/topics/topic/code"
"<null>","f69a9890-7e34-4491-a5e6-f8d60f481caa","1","<null>"
"<null>","b1bea2cc-fe01-43aa-a664-71a2fdffcd80","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 5","4b99b2da-1c01-4d8b-810c-1bd9fa183c5d","1","<null>"
"Introduction to Week 14 TO BE DELETED","7dbe3162-4866-4c3d-96f1-e6cac42fd3ae","1","<null>"
"Basic Life Support (BLS) Sessions - 1B","1db15438-039b-45b5-bce8-215e3fcbf513","1","<null>"
"Dissections - KHI2 OLD","dc521573-51c3-4343-9646-84e37dc7dcda","1","<null>"
"A Practical Introduction to Arts in Healthcare (Coursework Elective)","c5a13d13-6c3e-48c0-a1b7-3bff8b2eb1ab","1","<null>"
"Biochemistry in Health & Disease (Coursework Elective)","01e68a90-9fb8-4709-a2cc-3ad92f524554","1","<null>"
"Clinical Biochemistry (Coursework Elective)","d67cf51f-760f-43b0-a199-10d80ed4765f","1","<null>"
"Counselling in Medical Practice (Coursework Elective)","e080a079-45f6-4c72-bb45-307244ee69b4","1","<null>"
"Current Issues in Health Psychology (Coursework Elective)","73e6d0a2-bb21-4809-a1c4-21f0b161369b","1","<null>"
"PBL Cases - KHI2","1b7e9a90-0e53-45f3-b3d4-9b999a967e56","1","<null>"
"Acute Care Rotation (2)","c38c6b30-2cff-4369-b51f-88f7ae008d56","1","<null>"
"Electives - HPS1A","e6842c18-abb6-4729-b077-99e6f80198cd","1","<null>"
"Advanced Studies: Coursework Option","02a52d8e-822b-4601-855e-28f1f773ea07","1","<null>"
"Centrally Assessed Projects","1b5cca3d-d2b3-4310-bc81-c749b10ea822","1","<null>"
"Portfolio  - Year 4","62cb565b-8d42-43de-b4ed-27155f499ab8","1","<null>"
"Interview - Year 4","7b036105-5191-4ccf-8da7-1c0130f8fd70","1","<null>"
"Human-Animal Relationships (Coursework Elective)","047180af-4b5c-47a9-8df6-d71b5456d037","1","<null>"
"Lymphatic System in Health & Disease (Coursework Elective)","6dd7e9e0-9beb-4eaf-86b2-65cc24fb5be6","1","<null>"
"Pathology of Human Disease 1 (Coursework Elective)","60495747-cf80-47bb-a73e-d16ed2dbd15d","1","<null>"
"Patient Journey (Coursework Elective)","df6f837b-54ec-4db3-8800-8358e25fd4f1","1","<null>"
"Primary Health Care (Coursework Elective)","51987396-f9fd-445a-878f-4cb56e755432","1","<null>"
"Reflective Professionalism Program: Years 2 - 4","b8fe6e7c-7a5f-4c25-84fd-3e842c672847","1","<null>"
"MMSE 2","741776be-8d38-49bc-a51b-227bc596a3d3","1","<null>"
"Consultant ward round","73406c78-f78c-4ad1-af04-eb13450ccc28","1","<null>"
"Breast Surgery Clinic","dbde7c6f-d721-4b02-acd7-8e0aebc88541","1","<null>"
"Internal Medicine Acute Medical Unit ","5b055f16-09b7-4273-bb47-68a82abed9d3","1","<null>"
"Year 2 SP Assessments","61a5cfcd-2551-4cbc-a480-395a64156d3d","1","<null>"
"<null>","620f061a-f0d8-420f-bd9f-5bf481284783","1","<null>"
"<null>","9cff19a0-c140-431e-a76c-a37154526d62","1","<null>"
"<null>","12c50e21-aa90-4a48-b37c-b1cac917a6b7","1","<null>"
"<null>","99880ce9-a5fa-49a1-a743-f3bff694dc7f","1","<null>"
"<null>","8d6ddcaf-3e8f-4879-9f2d-8a1a3bd9252d","1","<null>"
"<null>","e910b34c-4721-4eb0-9ccd-f97ea06419b1","1","<null>"
"<null>","78793fc7-a76a-4b01-be2b-2a724a2d0bec","1","<null>"
"Histology: Thyroid and Parathyroid","3f28ab6a-5536-471d-8160-efd3448dc892","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 1","c60a19ee-9aa0-480f-be58-f0be69f27ac5","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 2","ddfeb3f8-1b0e-4561-ae63-0745b978ac40","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 3","964d3fce-cbe5-4e60-864a-0879f19dc9b3","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 4","1334f9d1-9eb7-4a50-8cd5-307be96afa30","1","<null>"
"Anatomy Dissection: Musculoskeletal System, 6","eaac01a7-8ac3-4a7e-8a4a-b42fd048352f","1","<null>"
"Causality in analytic epidemiology","7ada09c7-817c-4194-9548-bc063ab66fde","1","<null>"
